//EMB
EMB,40017C00,0,4,4,4,8,4,C,4,10,4,14,4,20,4,28,4,2C,4,30,4,34,4,38,4,

//CTL0  EMB Group0 Group0 control register
EMB_CTL0,0,32,rw,00000000,0FFF07F7,
INVSEL2,27,27,rw,
NFEN2,26,26,rw,
NFSEL2,25,24,rw,
INVSEL1,23,23,rw,
NFEN1,22,22,rw,
NFSEL1,21,20,rw,
INVSEL0,19,19,rw,
NFEN0,18,18,rw,
NFSEL0,17,16,rw,
PORTINEN2,10,10,rw,
PORTINEN1,9,9,rw,
PORTINEN0,8,8,rw,
PWMSEN2,7,7,rw,
PWMSEN1,6,6,rw,
PWMSEN0,5,5,rw,
OSCSTPEN,4,4,rw,
CMPEN,2,0,rw,$,

//PWMLV0  EMB Group0 PWM short level select register
EMB_PWMLV0,4,32,rw,00000000,00000007,
PWMLV,2,0,rw,$,

//SOE0  EMB Group0 software output enable register
EMB_SOE0,8,32,rw,00000000,00000001,
SOE,0,0,rw,$,

//STAT0  EMB Group0 status register
EMB_STAT0,C,32,r,00000000,0000770F,
PORTINST2,14,14,rw,
PORTINST1,13,13,rw,
PORTINST0,12,12,rw,
PORTINF2,10,10,r,
PORTINF1,9,9,r,
PORTINF0,8,8,r,
PWMST,3,3,r,
OSF,2,2,r,
CMPF,1,1,r,
PWMSF,0,0,r,$,

//STATCLR0  EMB Group0 status clear register
EMB_STATCLR0,10,32,w,00000000,00000707,
PORTINFCLR2,10,10,w,
PORTINFCLR1,9,9,w,
PORTINFCLR0,8,8,w,
OSFCLR,2,2,w,
CMPFCLR,1,1,w,
PWMSFCLR,0,0,w,$,

//INTEN0  EMB Group0 interrupt enable register
EMB_INTEN0,14,32,rw,00000000,00000707,
PORTININTEN2,10,10,rw,
PORTININTEN1,9,9,rw,
PORTININTEN0,8,8,rw,
OSINTEN,2,2,rw,
CMPINTEN,1,1,rw,
PWMINTEN,0,0,rw,$,

//CTL1  EMB Group1 control register
EMB_CTL1,20,32,rw,00000000,0FFF0717,
INVSEL2,27,27,rw,
NFEN2,26,26,rw,
NFSEL2,25,24,rw,
INVSEL1,23,23,rw,
NFEN1,22,22,rw,
NFSEL1,21,20,rw,
INVSEL0,19,19,rw,
NFEN0,18,18,rw,
NFSEL0,17,16,rw,
PORTINEN2,10,10,rw,
PORTINEN1,9,9,rw,
PORTINEN0,8,8,rw,
OSCSTPEN,4,4,rw,
CMPEN,2,0,rw,$,

//SOE1  EMB Group1 software output enable register
EMB_SOE1,28,32,rw,00000000,00000001,
SOE,0,0,rw,$,

//STAT1  EMB Group1 status register
EMB_STAT1,2C,32,r,00000000,00007706,
PORTINST2,14,14,rw,
PORTINST1,13,13,rw,
PORTINST0,12,12,rw,
PORTINF2,10,10,r,
PORTINF1,9,9,r,
PORTINF0,8,8,r,
OSF,2,2,r,
CMPF,1,1,r,$,

//STATCLR1  EMB Group1 status clear register
EMB_STATCLR1,30,32,w,00000000,00000706,
PORTINFCLR2,10,10,w,
PORTINFCLR1,9,9,w,
PORTINFCLR0,8,8,w,
OSFCLR,2,2,w,
CMPFCLR,1,1,w,$,

//INTEN1  EMB Group1 interrupt enable register
EMB_INTEN1,34,32,rw,00000000,00000706,
PORTININTEN2,10,10,rw,
PORTININTEN1,9,9,rw,
PORTININTEN0,8,8,rw,
OSINTEN,2,2,rw,
CMPINTEN,1,1,rw,$,

//ECSR  EMB Group1 emergency register
EMB_ECSR,38,32,rw,00000000,00000003,
EMBVAL,1,0,rw,$,

