//I2C
I2C,4004E000,0,4,4,4,10,4,14,4,1C,4,20,4,24,4,28,4,2C,4,30,4,

//I2C_CR1  I2C Control Register1
I2C_CR1,0,32,rw,00000040,000087FF,
SWRST,15,15,rw,
ACK,10,10,rw,
STOP,9,9,rw,
START,8,8,rw,
RESTART,7,7,rw,
GCEN,6,6,rw,
FACKEN,5,5,rw,
SMBHOSTEN,4,4,rw,
SMBDEFAULTEN,3,3,rw,
SMBALRTEN,2,2,rw,
SMBUS,1,1,rw,
PE,0,0,rw,$,

//I2C_CR2  I2C Control Register2
I2C_CR2,4,32,rw,00000000,00F012DF,
SMBALRTIE,23,23,rw,
SMBHOSTIE,22,22,rw,
SMBDEFAULTIE,21,21,rw,
GENCALLIE,20,20,rw,
NACKIE,12,12,rw,
ARLOIE,9,9,rw,
TEMPTYIE,7,7,rw,
RFULLIE,6,6,rw,
STOPIE,4,4,rw,
TENDIE,3,3,rw,
SLADDR1IE,2,2,rw,
SLADDR0IE,1,1,rw,
STARTIE,0,0,rw,$,

//I2C_SLR0  I2C Address Register0
I2C_SLR0,10,32,rw,00001000,000093FF,
ADDRMOD0,15,15,rw,
SLADDR0EN,12,12,rw,
SLADDR0,9,0,rw,$,

//I2C_SLR1  I2C Address Register1
I2C_SLR1,14,32,rw,00000000,000093FF,
ADDRMOD1,15,15,rw,
SLADDR1EN,12,12,rw,
SLADDR1,9,0,rw,$,

//I2C_SR  I2C Flag Register
I2C_SR,1C,32,r,00000000,00F716DF,
SMBALRTF,23,23,r,
SMBHOSTF,22,22,r,
SMBDEFAULTF,21,21,r,
GENCALLF,20,20,r,
TRA,18,18,rw,
BUSY,17,17,r,
MSL,16,16,rw,
NACKF,12,12,r,
ACKRF,10,10,r,
ARLOF,9,9,r,
TEMPTYF,7,7,r,
RFULLF,6,6,r,
STOPF,4,4,r,
TENDF,3,3,r,
SLADDR1F,2,2,r,
SLADDR0F,1,1,r,
STARTF,0,0,r,$,

//I2C_CLR  I2C Flag Clear Register
I2C_CLR,20,32,w,00000000,00F012DF,
SMBALRTFCLR,23,23,w,
SMBHOSTFCL,22,22,w,
SMBDEFAULTF,21,21,w,
GENCALLFCLR,20,20,w,
NACKFCLR,12,12,w,
ARLOFCLR,9,9,w,
TEMPTYFCLR,7,7,w,
RFULLFCLR,6,6,w,
STOPFCLR,4,4,w,
TENDFCLR,3,3,w,
SLADDR1FCLR,2,2,w,
SLADDR0FCLR,1,1,w,
STARTFCLR,0,0,w,$,

//I2C_DTR  I2C Data Transmit Register
I2C_DTR,24,32,rw,000000FF,000000FF,
DT,7,0,rw,$,

//I2C_DRR  I2C Data Receive Register
I2C_DRR,28,32,rw,00000000,000000FF,
DR,7,0,rw,$,

//I2C_CCR  I2C Baud Rate Register
I2C_CCR,2C,32,rw,00001F1F,00871F1F,
FMPE,23,23,rw,
CKDIV,18,16,rw,
SHIGHW,12,8,rw,
SLOWW,4,0,rw,$,

//I2C_FLTR  I2C Filter Control Register
I2C_FLTR,30,32,rw,00000010,00000033,
ANFEN,5,5,rw,
DNFEN,4,4,rw,
DNF,1,0,rw,$,

